extension_name,extension_display_name,extension_short_name,os_type,is_sql,in_dashbaord,extension_group
AlertLogicLM,Alert Logic LM,Alert Logic LM,,FALSE,FALSE,
AzureArcAppServiceExtension,Azure Arc App Service Extension,Arc App Service,Windows,FALSE,FALSE,
AzureArcKubernetesExtension,Azure Arc Kubernetes Extension,Arc K8,Windows,FALSE,FALSE,
AzureDiskEncryption,Azure Disk Encryption,Az Disk Encrypt Windows,Windows,FALSE,FALSE,
AzureDiskEncryptionForLinux,Azure Disk Encryption for Linux,Az  Encrypt Linux,Linux,FALSE,FALSE,
AzureMonitorLinuxAgent,Azure Monitor Linux Agent,Az Monitor Linux,Linux,FALSE,FALSE,Azure Monitor
AzureMonitorWindowsAgent,Azure Monitor Windows Agent,Az Monitor Windows,Windows,FALSE,TRUE,Azure Monitor
AzurePolicyforLinux,Azure Policy for Linux,Azure Policy Linux,Linux,FALSE,FALSE,
AzurePolicyforWindows,Azure Policy for Windows,Az Policy Windows,Windows,FALSE,FALSE,
AzureSecurityWindowsAgent,Azure Security Windows Agent,Az Security Windows,,FALSE,FALSE,
AzureUpdateManagementLinux,Azure Update Management Linux,Az Update Linux,Linux,FALSE,FALSE,
AzureUpdateManagementWindows,Azure Update Management Windows,Az Update Windows,Windows,FALSE,FALSE,
BarracudaConnectivityAgent,Barracuda Connectivity Agent,Barracuda Agent,,FALSE,FALSE,
CentosChefClient,CentOS Chef Client,Chef Client CentOs,Linux,FALSE,FALSE,
ChangeTracking-Linux,Change Tracking Linux,Change Tracking,Linux,FALSE,FALSE,
ChangeTracking-Windows,Change Tracking Windows,Change Tracking,Windows,FALSE,FALSE,
ChefClient,Chef Client,Chef Client,,FALSE,FALSE,
CustomScriptExtension,Custom Script Extension,Customer Script,,FALSE,FALSE,
DependencyAgentLinux,Dependency Agent Linux,Dependency Linux,Linux,FALSE,FALSE,
DependencyAgentWindows,Dependency Agent Windows,Dependency Windows,Windows,FALSE,FALSE,
DSC,Desired State Configuration,DSC,,FALSE,FALSE,
GuestConfiguration,Guest Configuration,Guest Config,,FALSE,FALSE,
KeyVaultForLinux,Key Vault for Linux,Key Vault Linux,Linux,FALSE,FALSE,
KeyVaultForWindows,Key Vault for Windows,Key Vault Windows,Windows,FALSE,FALSE,
LogAnalyticsAgent,Log Analytics Agent,Log Analytics,,FALSE,FALSE,
MDE.Linux,Microsoft Defender for Endpoint Linux,MDE Linux,Linux,FALSE,FALSE,
MDE.Windows,Microsoft Defender for Endpoint Windows,MDE Windows,Windows,FALSE,TRUE,
NvidiaGpuDriverLinux,NVIDIA GPU Driver Extension for Linux,NVIDA Linux ,Linux,FALSE,FALSE,
OmsAgentForLinux,OMS Agent for Linux,OMS Linux,Linux,FALSE,FALSE,
WindowsAdminCenterExtension,Windows Admin Center,Arc Admin Centre,Windows,FALSE,FALSE,
WindowsAgent.SqlServer,Arc SQL Extension for Windows,Arc SQL Win,Windows,TRUE,TRUE,
SqlIaasExtension,Azure SQL Extension for Windows,Az SQL Win,Windows,TRUE,TRUE,
MicrosoftDefenderForSQL,Defender for SQL,Arc MDE SQL,Windows,TRUE,TRUE,
WindowsOsUpdateExtension,Windows OS Updates,Arc Windows Updates,Windows,FALSE,TRUE,
AdminCenter,Windows Admin Center,Arc Admin Centre,Windows,FALSE,TRUE,
WindowsPatchExtension,Windows Patch,Az Windows Patch,WIndows,FALSE,TRUE,
LinuxPatchExtension,Linux Patch,Linux Patch,Linux,FALSE,TRUE,
Bootstrap,Custom Script Extension,Custom Script,WIndows,FALSE,TRUE,
